"UNITID","Institution_type","State"
"100654","Public","AL"
"100663","Public","AL"
"100690","Private, nonprofit","AL"
"100706","Public","AL"
"100724","Public","AL"
"100751","Public","AL"
"100760","Public","AL"
"100812","Public","AL"
"100830","Public","AL"
"100858","Public","AL"
"100937","Private, nonprofit","AL"
"101028","Public","AL"
"101116","Private, for-profit","AL"
"101143","Public","AL"
"101161","Public","AL"
"101189","Private, nonprofit","AL"
"101240","Public","AL"
"101277","Private, for-profit","AL"
"101286","Public","AL"
"101295","Public","AL"
"101301","Public","AL"
"101365","Private, nonprofit","AL"
"101435","Private, nonprofit","AL"
"101453","Private, nonprofit","AL"
"101462","Public","AL"
"101471","Public","AL"
"101480","Public","AL"
"101505","Public","AL"
"101514","Public","AL"
"101541","Private, nonprofit","AL"
"101569","Public","AL"
"101587","Public","AL"
"101602","Public","AL"
"101648","Public","AL"
"101675","Private, nonprofit","AL"
"101693","Private, nonprofit","AL"
"101709","Public","AL"
"101736","Public","AL"
"101879","Public","AL"
"101897","Public","AL"
"101912","Private, nonprofit","AL"
"101994","Public","AL"
"102030","Public","AL"
"102049","Private, nonprofit","AL"
"102067","Public","AL"
"102076","Public","AL"
"102094","Public","AL"
"102234","Private, nonprofit","AL"
"102270","Private, nonprofit","AL"
"102298","Private, nonprofit","AL"
"102313","Public","AL"
"102368","Public","AL"
"102377","Private, nonprofit","AL"
"102395","Private, nonprofit","AL"
"102429","Public","AL"
"102553","Public","AK"
"102580","Private, nonprofit","AK"
"102614","Public","AK"
"102632","Public","AK"
"102669","Private, nonprofit","AK"
"102711","Public","AK"
"102845","Private, for-profit","WA"
"103501","Private, for-profit","AK"
"103741","Private, for-profit","AZ"
"103893","Private, for-profit","AZ"
"103909","Private, for-profit","AZ"
"103927","Private, for-profit","AZ"
"103954","Private, for-profit","AZ"
"103963","Private, for-profit","AZ"
"104090","Private, for-profit","AZ"
"104151","Public","AZ"
"104160","Public","AZ"
"104179","Public","AZ"
"104346","Public","AZ"
"104391","Private, for-profit","AZ"
"104425","Public","AZ"
"104443","Private, for-profit","AZ"
"104568","Private, for-profit","AZ"
"104577","Public","AZ"
"104586","Private, nonprofit","AZ"
"104665","Private, nonprofit","AZ"
"104708","Public","AZ"
"104717","Private, for-profit","AZ"
"105145","Public","AZ"
"105154","Public","AZ"
"105206","Public","AZ"
"105215","Private, for-profit","AZ"
"105297","Public","AZ"
"105330","Public","AZ"
"105349","Public","AZ"
"105367","Private, nonprofit","AZ"
"105428","Public","AZ"
"105525","Public","AZ"
"105534","Private, for-profit","AZ"
"105543","Private, for-profit","NM"
"105589","Private, nonprofit","AZ"
"105659","Private, for-profit","AZ"
"105668","Public","AZ"
"105677","Private, for-profit","AZ"
"105747","Public","AZ"
"105792","Public","AZ"
"105899","Private, nonprofit","AZ"
"106041","Private, for-profit","AZ"
"106111","Private, for-profit","AZ"
"106148","Public","AZ"
"106245","Public","AR"
"106263","Public","AR"
